entry_id,student_id,task_id,topic,difficulty,correct,task_text,solution
1,3,14,дроби,medium,правильно,У Катя было 24 тетрадей. Катя отдал(а) 3/5 всех тетрадей. Сколько тетрадей осталось у Катя?,
2,10,122,уравнения,easy,неправильно,Решите уравнение: 4x + 6 = 26.,
3,4,268,комбинаторика,hard,правильно,В комнате находятся 6 человек. Каждый пожал руку каждому по одному разу. Сколько всего было рукопожатий?,
4,5,197,тригонометрия,easy,правильно,Вычислите sin 30°.,
5,1,166,логарифмы,easy,правильно,Вычислите log_3 9.,
6,1,247,площадь/объём,easy,правильно,Найдите площадь прямоугольника со сторонами 7 м и 5 м.,
7,10,121,уравнения,hard,неправильно,Решите уравнение: x^2 = 16.,
8,5,16,дроби,easy,неправильно,У Маша было 26 яблок. Маша отдал(а) 2/3 всех яблок. Сколько яблок осталось у Маша?,
9,8,12,дроби,hard,неправильно,У Саша было 22 яблок. Саша отдал(а) 1/3 всех яблок. Сколько яблок осталось у Саша?,
10,8,160,логарифмы,easy,правильно,Вычислите log_3 81.,
11,10,43,арифметика,hard,неправильно,Магазин продал 28 кг сахара в понедельник и 21 кг во вторник. Сколько всего килограммов сахара продали?,
12,3,185,тригонометрия,easy,правильно,Вычислите sin 30°.,
13,9,25,дроби,easy,неправильно,Найдите сумму дробей 2/4 и 3/4.,
14,10,76,геометрия,easy,правильно,Найдите периметр прямоугольника со сторонами 4 см и 5 см.,
15,6,282,последовательности,easy,правильно,"В арифметической прогрессии a1 = 3, d = 5. Найдите a10.",
16,3,374,функции,hard,неправильно,Найдите нули функции f(x) = x^2 - 5x + 6.,
17,4,249,площадь/объём,hard,неправильно,Найдите объём куба с ребром 2 см.,
18,7,228,площадь/объём,hard,неправильно,Найдите объём куба с ребром 5 см.,
19,1,290,последовательности,hard,неправильно,Последовательность задана формулой an = 2n + 1. Найдите a15.,
20,5,182,тригонометрия,easy,правильно,Вычислите sin 30°.,
21,7,406,пределы,hard,неправильно,Найдите предел lim_{x→3} (x^2 - 9)/(x - 3).,
22,8,273,комбинаторика,medium,неправильно,Сколько различных способов выбрать 4 учеников из 8?,
23,1,327,интегралы,medium,правильно,Вычислите определённый интеграл ∫ от 0 до 3 (2x) dx.,
24,3,171,логарифмы,hard,неправильно,Упростите выражение log_2 8 + log_2 4.,
25,3,34,арифметика,hard,правильно,Магазин продал 19 кг сахара в понедельник и 14 кг во вторник. Сколько всего килограммов сахара продали?,
26,4,212,вероятности,hard,неправильно,В коробке 3 красных и 5 синих шариков. Какова вероятность вытянуть красный шар?,
27,9,37,арифметика,hard,правильно,Магазин продал 22 кг сахара в понедельник и 14 кг во вторник. Сколько всего килограммов сахара продали?,
28,7,280,последовательности,medium,правильно,"В геометрической прогрессии b1 = 2, q = 3. Найдите b6.",
29,2,287,последовательности,hard,правильно,Последовательность задана формулой an = 2n + 1. Найдите a15.,
30,7,370,функции,medium,неправильно,"Определите, является ли функция f(x) = x^2 - 4 чётной, нечётной или ни той ни другой.",
31,5,10,дроби,easy,неправильно,У Вася было 20 тетрадей. Вася отдал(а) 2/5 всех тетрадей. Сколько тетрадей осталось у Вася?,
32,5,156,логарифмы,hard,правильно,Упростите выражение log_2 8 + log_2 4.,
33,9,238,площадь/объём,easy,правильно,Найдите площадь прямоугольника со сторонами 4 м и 10 м.,
